ID VALUE SCORE
9922950 131140.859 0.426
91181848 424299.363 0.465
69940043 399734.974 0.388
93336074 107741.627 0.529
31315724 78640.839 0.06
66833525 13495.682 0.694
96576652 324321.12 0.492
45987424 186360.111 0.923
94286478 466333.939 0.785
14840386 123371.065 0.735
66825952 195434.028 0.453
99694539 435099.266 0.907
81145556 10053.408 0.996
20756416 740997.462 0.924
43064927 10805.491 0.97
1684866 91339.192 0.511
6709076 54470.721 0.133
36954364 267163.348 0.344
3107167 131851.225 0.213
49876607 103695.318 0.851
3700350 1565.917 0.166
96481004 16833.425 0.889
88939792 466426.073 0.094
91800439 138422.917 0.784
19638789 90312.25 0.346
34255400 372363.884 0.147
65432207 168977.56 0.157
28861486 193285.157 0.071
65981308 5176.39 0.63
98918938 404133.873 0.761
37616138 8640.582 0.412
93712718 175555.833 0.642
28051261 650377.859 0.234
2330590 481633.167 0.422
94440907 79838.559 0.363
22833644 3389.098 0.235
5979892 240608.191 0.184
12240504 59438.5 0.17
48654328 182522.506 0.626
81285425 376030.966 0.416
42466108 330610.477 0.056
16442329 527071.325 0.024
27323186 278300.411 0.904
39952279 416585.976 0.677
1777349 364158.257 0.811
23362598 403981.01 0.979
60327979 6988.014 0.086
95242890 590785.239 0.858
80663442 176716.09 0.983
32312577 68589.16 0.813
52720529 232815.853 0.545
25396156 724827.905 0.854
27473845 68602.563 0.999
2299890 101752.337 0.361
90647453 91459.135 0.497
95422731 235537.723 0.311
70538561 484793.839 0.842
70762973 443608.739 0.822
44151050 144917.731 0.543
62439469 589461.94 0.255
80786751 4392.556 0.606
54873150 67586.425 0.067
47137481 754089.318 0.702
15118327 113173.13 0.623
45020597 310258.474 0.354
81887917 147390.681 0.78
44513120 638303.842 0.19
10542644 77031.587 0.573
79294464 177711.928 0.788
25489849 31337.093 0.622
52815191 26200.081 0.051
37294812 10252.199 0.603
60277508 27871.479 0.172
27420506 239546.218 0.638
79582164 30853.606 0.359
3247241 212315.765 0.526
40008944 214204.05 0.439
73932387 274179.739 0.171
53547056 61071.717 0.715
3218890 23107.088 0.193
68324219 29736.5 0.597
17172912 141079.818 0.059
96254264 519824.025 0.187
6207177 323268.514 0.848
69672779 207292.894 0.717
47027629 14987.785 0.247
49200938 48420.016 0.116
72782430 29573.971 0.684
99232848 11273.3 0.563
15386772 4114.175 0.709
79474655 97088.932 0.447
3599078 115133.278 0.063
9630649 545276.357 0.354
9578753 180258.707 0.725
81468146 5931.314 0.09
11489298 670220.564 0.552
96697622 306141.258 0.39
45715268 638282.036 0.634
43715936 512372.67 0.112
57465676 900545.485 0.17
22278075 406440.689 0.923
36403626 290743.545 0.456
11698785 209324.298 0.87
73264549 452739.03 0.55
30199377 373534.309 0.771
48368 292586.696 0.981
33232708 426629.346 0.956
76911257 12225.781 0.988
50603521 316580.178 0.061
75078727 391236.851 0.336
81794910 586416.307 0.404
62439350 33562.219 0.147
41223023 600955.837 0.771
93450905 220376.532 0.64
70618885 37912.207 0.493
34646748 780125.654 0.262
86358633 653034.685 0.413
29784143 38478.127 0.832
74810770 251335.154 0.353
